id,description,code,code,unit_size,category,link,rank,price,cost,created_at,updated_at
2a9349a1-4715-4cbe-a17e-5a263f068e51,Impresion Reflectivo Grado Ingenieria de 1.2mts ( precio por metro lineal ),imp-gi,imp-gi,120x100cm,seguridad,,0,100,75,2024-03-22 17:47:53.489,2024-03-22 17:47:53.489
2af7273e-bf8d-4b7d-bd52-7336e9666d51,"Poste de metálico tubo redondo de 3"" x 2.5mm x 3.5 M pintado base zincromato + gloss ( zebra cada 30cm) incluye anclaje , pernos tuercas, arandelas",PS3X2.5X3.5,PS3X2.5X3.5,Und,viales,https://tellsenales.com/seguridad/postes-metalicos-para-senalizacion-vial-duraderos-visibles-y-versatiles/,0,165,130,2023-10-19 01:08:02.594,2024-08-26 21:08:34.507
2ba41bb1-78fe-415a-9cbe-0ea92e14dc47,Filtro 2097 - 3M,F2097-3M,F2097-3M,Und,epp,,0,70,35,2024-05-07 23:43:42.128,2024-05-08 04:02:54.567
2c51dd07-8d87-43d8-a34e-8060bd097f43,Señal Vertical Preventiva Lámina: Reflectivo tipo IV Grado Prismático (HIP) Soporte: Panel Aluminio Compuesto 4mm Pictograma: Reflectivo Grado Ingenieria,SHP30,SHP30,30x30cm,viales,https://tellsenales.com/seguridad/senal-preventiva-con-lamina-de-alta-intensidad-hip-y-soporte-sustrato-de/,9,45,16,2024-01-02 18:38:07.927,2025-01-02 19:38:17.025
2c78bd9f-5eb7-4c03-be9e-dc643083cec9,Sticker vinil arclad transparente laminado,STT20X30,STT20X30,20x30cm,seguridad,https://tellsenales.com/seguridad/sticker-vinil-arclad-laminado-proteccion-uv/,0,3,3,2023-08-03 03:38:19.427,2024-11-08 19:33:52.977
2c7dd38a-4bdb-4ef2-8262-67ee83227812,Botiquín de madera 20 x30 cm - Sin medicamentos,BOT20X30,BOT20X30,und,articulos seguridad,https://tellsenales.com/seguridad/botiquin-de-madera-20x30cm/,0,25,15,2023-08-03 03:38:19.427,2024-08-24 22:31:32.945
2c9d88e1-b7dd-4a62-ab0f-a971cb960c95,Topellantas de estacionamiento fabricando con caucho 100% reciclado Medida: 180x15x10CM,TLL180,TLL180,und,proteccion vial,https://tellsenales.com/seguridad/topellantas-de-caucho-para-estacionamientos-de-180cm/,0,220,165,2024-08-06 22:48:56.362234,2024-09-19 20:22:49.65
2cde030f-3b35-4df0-ac83-46e58d36a498,Señal STICKER FOTOLUMINISCENTE de 5 hrs pictograma: vinil rotulado,SFT20X30,SFT20X30,20x30cm,fotoluminiscente,https://tellsenales.com/seguridad/sticker-fotoluminiscente-con-pictograma-vinil-rotulado/,0,7,3,2023-08-03 03:38:19.427,2024-10-17 21:15:11.553
2d13aa66-99ef-49bd-a9dc-a42371bd73e1,Señal Chevrón Lámina: Reflectivo tipo XI Grado Diamante (3M DG3)  Soporte: Fibra de vidrio 4mm Pictograma: Reflectivo Grado Ingenieria,CHE40X60-F-DG3,CHE40X60-F-DG3,40x60cm,viales,https://tellsenales.com/seguridad/senal-preventiva-chevron-con-lamina-reflectiva-hip-con-soporte-compuesto-de/,0,165,113,2025-01-03 04:34:57.139,2025-01-03 04:46:31.478
2d2fce5d-899c-4db1-ab51-fd1d4a4392ee,Señal fotoluminiscente con soporte pvc celtex 5 mm y pictograma en vinil rotulado (troquelado),FT60X80-5,FT60X80-5,60x80cm,fotoluminiscente,https://tellsenales.com/seguridad/senal-fotoluminiscente-con-base-pvc-celtex-3mm/,0,64,32,2023-10-22 23:12:55.748,2024-08-24 23:01:51.125
2d84fe5b-6ffc-40a4-8917-c9ccc8b24fe5,Lámina reflectiva amarillo limón tipo XI Grado Diamante (DG3) 3M con pictograma rotulado en vinil color negro,FDG3,FDG3,30 X45,viales,,0,95,72,2024-05-14 16:51:02.699,2024-05-14 16:51:02.699
2d9347f4-ad1f-41c8-b8f5-ecc62b5026a2,"Poste metálico tubo redondo Ø2.5""  x  2mm x 3M. Pintado: doble capa anticorrosiva y doble capa gloss en patrón zebra ( cada 30cm ) - incluye accesorios pernos, tuercas, arandelas y anclaje",PS2X2X3,PS2X2X3,und,viales,https://tellsenales.com/seguridad/postes-metalicos-para-senalizacion-vial-duraderos-visibles-y-versatiles/,9,120,95,2023-10-21 16:29:41.788,2024-08-26 21:07:52.312
2e2a7320-42f8-4cc7-9d01-465fdd169bc3,Señal reguladora con lamina reflectiva  tipo IV Alta Intensidad Prismático (HIP ) y soporte fibra de vidrio 4mm  con refuerzo de platina  ( PARE ),FHR75X75,FHR75X75,75x75cm,viales,https://tellsenales.com/seguridad/senal-pare-octagonal-con-lamina-reflectiva-hip-en-fibra-de-vidrio-4mm-o/,0,220,175,2024-05-21 16:36:40.957,2024-08-24 22:49:14.538
2f8030ed-4371-4676-a9b6-648382eb37e3,Señal vinil arclad laminado (proteccion UV) c/ soporte pvc celtex espesor = 5mm - DOBLE CARA,PVC-5-DC,PVC-5-DC,20x30cm,seguridad,,0,8,4,2023-08-03 03:38:19.427,2023-08-03 03:38:19.427
3002bb75-0149-4c15-b1c6-cdb03443ab60,Extintor CO2 (Dióxido de Carbono )-10 libras con certificado,C02-10,C02-10,und,lucha contra incendio,https://tellsenales.com/seguridad/extintor-c02-de-10-lbs/,0,300,250,2023-08-03 03:38:19.427,2025-01-28 22:13:16.488
3036364b-0ae8-4965-9cb6-ee5ad5624207,Señal fotoluminiscente con soporte pvc celtex 5mm y pictograma en vinil rotulado (troquelado),FT40X60-5,FT40X60-5,40x60cm,fotoluminiscente,https://tellsenales.com/seguridad/senal-fotoluminiscente-con-base-pvc-celtex-3mm/,0,32,16,2024-05-30 21:21:38.593,2024-08-24 23:01:08.494
3039d654-3b17-4a44-9fd3-02d55957d8a7,Luces de emergencia 14 led opalux original,LE-OPA-14,LE-OPA-14,und,articulos seguridad,https://tellsenales.com/seguridad/luz-de-emergencia-14-led-power-modelo-slim-8-hrs/,0,85,85,2023-08-03 03:38:19.427,2024-09-19 21:18:54.134
3130a1c2-bb8d-46e3-9e7e-7a9fe915b01e,"Cinta reflectiva 2"" x 45.7M. marca Reflexlite, color verde",CRVD-2,CRVD-2,rollo,cintas seguridad,https://tellsenales.com/seguridad/cinta-reflectiva-2-pulgadas-5-cm-x-45-7mts-reflexlite/,0,150,92,2023-09-05 22:25:22.419,2024-08-24 23:24:06.559
31495c0c-5177-4239-9914-7796bb234778,Topellantas de estacionamiento fabricando con caucho 100% reciclado Medida: 55x15x10CM,TLL55,TLL55,und,proteccion vial,https://tellsenales.com/seguridad/topellantas-de-caucho-para-estacionamientos-de-55cm/,0,70,45,2023-08-03 03:38:19.427,2024-09-19 20:22:13.799
